"Date","SearchEngine","KeywordGroup","Website","Position"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","12"
"2014-07-02","Yahoo","dashboard","qlik","4"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","sankey","qlik","4"
"2014-07-02","Yahoo","dashboard","qlik","49"
"2014-07-02","Yahoo","interactive","qlik","6"
"2014-07-02","Yahoo","dashboard","qlik","10"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","4"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","32"
"2014-07-02","Yahoo","dashboard","qlik","6"
"2014-07-02","Yahoo","dashboard","qlik","15"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","32"
"2014-07-02","Yahoo","interactive","qlik","2"
"2014-07-02","Yahoo","dashboard","qlik","4"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","word cloud","qlik","46"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","dashboard","qlik","2"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","sankey","qlik","2"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","sankey","qlik","1"
"2014-07-02","Yahoo","sankey","qlik","4"
"2014-07-02","Yahoo","sankey","qlik","2"
